3024	3045	3087	3127	3194	3283	3369	3497	3630	3824	4045	4290	4556	4167	4547	4859	5111	5310	5529	5823	6155	6424	6586	6850	7297	7619	8113	8651	9057
2776	2791	2826	2858	2909	2980	3041	3136	3234	3403	3604	3852	4126	3723	4109	4402	4655	4870	5112	5366	5668	5880	6017	6294	6769	7181	7704	8078	8323
2524	2549	2586	2618	2661	2718	2760	2831	2905	3047	3221	3453	3715	3351	3710	3975	4213	4426	4689	4930	5209	5402	5535	5810	6262	6691	7186	7473	7666
2243	2288	2336	2373	2413	2457	2484	2535	2591	2703	2842	3042	3274	2994	3297	3522	3731	3931	4170	4413	4672	4863	5008	5269	5661	6062	6487	6718	6918
1946	2016	2078	2123	2162	2194	2208	2239	2281	2360	2462	2623	2818	2640	2876	3057	3232	3412	3588	3840	4077	4274	4434	4678	4993	5349	5685	5867	6096
1675	1768	1842	1895	1934	1957	1961	1977	2007	2058	2127	2254	2414	2327	2503	2643	2788	2948	3088	3344	3561	3762	3936	4164	4414	4732	4993	5135	5388
1458	1562	1644	1703	1744	1763	1765	1775	1799	1832	1877	1980	2114	2087	2220	2333	2456	2601	2737	2989	3190	3389	3571	3787	3998	4288	4502	4624	4889
1278	1382	1467	1531	1575	1599	1607	1621	1646	1670	1701	1790	1906	1905	2016	2111	2221	2352	2504	2738	2918	3109	3292	3499	3694	3967	4163	4285	4548
1107	1202	1286	1355	1406	1440	1462	1486	1517	1539	1564	1644	1746	1750	1848	1933	2035	2153	2296	2498	2654	2829	3009	3205	3399	3656	3847	3985	4237
940	1022	1104	1178	1235	1283	1321	1360	1399	1422	1441	1516	1605	1604	1696	1772	1869	1973	2085	2248	2376	2533	2708	2893	3090	3330	3521	3682	3920
797	868	948	1026	1089	1148	1201	1254	1300	1324	1339	1410	1485	1482	1568	1639	1731	1824	1907	2039	2143	2284	2455	2630	2830	3057	3248	3426	3652
702	765	844	925	991	1059	1121	1183	1234	1259	1271	1339	1402	1400	1483	1549	1638	1724	1796	1908	1997	2128	2297	2466	2667	2886	3077	3267	3485
654	714	792	874	943	1014	1081	1147	1201	1226	1237	1304	1358	1359	1441	1505	1592	1674	1752	1855	1939	2066	2234	2400	2602	2817	3008	3203	3418
640	698	776	859	928	1000	1069	1137	1191	1216	1226	1294	1343	1347	1428	1491	1579	1659	1741	1842	1924	2050	2218	2384	2586	2800	2991	3187	3401
